resume_text,category
"Bachelor of Engineering in Software Engineering. 3 years experience. Skills: Java, TestNG, JUnit, API testing, Postman, continuous testing, quality assurance. Experience: Designed and executed comprehensive test plans for web applications",QA Engineer
"Master of Technology in Data Science. 3 years experience. Skills: cross-functional leadership, product vision, KPIs, user experience, competitive analysis. Experience: Conducted market research and competitive analysis",Product Manager
"Bachelor of Science in Information Systems. 6 years experience. Skills: GCP, Docker, Kubernetes, CloudFormation, CI/CD pipelines, Prometheus, Grafana. Experience: Implemented monitoring and alerting using Prometheus and Grafana",DevOps/Cloud Engineer
"Master of Technology in Data Science. 5 years experience. Skills: React, Spring Boot, PostgreSQL, AWS, full development lifecycle, Agile, code review. Experience: Built RESTful APIs and integrated them with React frontend",FullStack Developer
"Bachelor of Engineering in Software Engineering. 8 years experience. Skills: Python, TensorFlow, PyTorch, neural networks, deep learning, NLP, computer vision, MLOps. Experience: Built computer vision system for object detection in real-time",AI/ML Engineer
"Master of Technology in Data Science. 3 years experience. Skills: Flutter, Dart, cross-platform apps, state management, Firebase, API integration. Experience: Published multiple apps to App Store and Google Play Store",Mobile Developer
"Bachelor of Science in Computer Science. 6 years experience. Skills: JavaScript, TypeScript, Vue.js, Tailwind CSS, REST APIs, web accessibility, SEO. Experience: Designed and developed responsive websites for multiple clients",Web Developer
"Master of Science in Computer Science. 1 years experience. Skills: MySQL, PostgreSQL, replication, clustering, monitoring, query optimization, data integrity. Experience: Performed database migrations with zero downtime",Database Administrator
"Master of Technology in Data Science. 6 years experience. Skills: React Native, JavaScript, TypeScript, cross-platform development, Redux, native modules. Experience: Optimized app performance reducing load times by 50%",Mobile Developer
"Master of Technology in Data Science. 5 years experience. Skills: product roadmap, sprint planning, wireframing, metrics analysis, business strategy, SQL. Experience: Conducted market research and competitive analysis",Product Manager
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Vue.js, Python Flask, MySQL, Redis, authentication, authorization, microservices. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Bachelor of Technology in Information Technology. 3 years experience. Skills: Next.js, Node.js, GraphQL, MongoDB, TypeScript, serverless, cloud deployment. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Bachelor of Science in Information Systems. 3 years experience. Skills: SQL Server, database design, performance tuning, backup and recovery, high availability. Experience: Optimized query performance improving response times by 60%",Database Administrator
"Bachelor of Science in Computer Science. 2 years experience. Skills: AWS Lambda, ECS, CloudWatch, DevOps practices, scripting, security, cost optimization. Experience: Implemented monitoring and alerting using Prometheus and Grafana",DevOps/Cloud Engineer
"Bachelor of Technology in Information Technology. 7 years experience. Skills: Python, pytest, test automation frameworks, CI/CD integration, performance testing. Experience: Identified and documented critical bugs improving product quality",QA Engineer
"Bachelor of Engineering in Software Engineering. 3 years experience. Skills: JavaScript, Angular, SASS, responsive design, Progressive Web Apps, performance optimization. Experience: Implemented UI/UX designs improving user engagement by 30%",Web Developer
"Bachelor of Technology in Information Technology. 1 years experience. Skills: test strategy, mobile testing, load testing, JMeter, test documentation, quality metrics. Experience: Identified and documented critical bugs improving product quality",QA Engineer
"Bachelor of Engineering in Software Engineering. 7 years experience. Skills: R, SQL, Excel, regression analysis, A/B testing, data cleaning, storytelling. Experience: Performed statistical analysis on customer behavior data",Data Scientist
"Bachelor of Science in Information Systems. 3 years experience. Skills: React, Node.js, Express, MongoDB, REST APIs, Git, JavaScript, HTML, CSS, responsive design. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Master of Technology in Data Science. 6 years experience. Skills: Figma, prototyping, user-centered design, A/B testing, design handoff, HTML/CSS basics. Experience: Created design systems and component libraries",UI/UX Designer
"Master of Technology in Data Science. 5 years experience. Skills: Python, security auditing, compliance, ISO 27001, GDPR, risk management, security policies. Experience: Responded to security incidents and performed forensic analysis",Cybersecurity Engineer
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Vue.js, Python Flask, MySQL, Redis, authentication, authorization, microservices. Experience: Built RESTful APIs and integrated them with React frontend",FullStack Developer
"Bachelor of Science in Computer Science. 8 years experience. Skills: Python, pytest, test automation frameworks, CI/CD integration, performance testing. Experience: Automated test cases reducing testing time by 50%",QA Engineer
"Master of Technology in Data Science. 5 years experience. Skills: TensorFlow, Keras, reinforcement learning, MLflow, model serving, AutoML. Experience: Built computer vision system for object detection in real-time",AI/ML Engineer
"Bachelor of Science in Information Systems. 1 years experience. Skills: cross-functional leadership, product vision, KPIs, user experience, competitive analysis. Experience: Defined product roadmap and prioritized features based on user feedback",Product Manager
"Bachelor of Science in Computer Science. 7 years experience. Skills: cloud security, AWS security, identity management, zero trust, SOC operations, SIEM tools. Experience: Conducted security audits and penetration testing for enterprise systems",Cybersecurity Engineer
"Bachelor of Science in Information Systems. 8 years experience. Skills: MongoDB, NoSQL, database administration, sharding, backup strategies, security. Experience: Managed database systems supporting thousands of concurrent users",Database Administrator
"Bachelor of Technology in Information Technology. 1 years experience. Skills: cross-functional leadership, product vision, KPIs, user experience, competitive analysis. Experience: Launched successful products increasing revenue by 35%",Product Manager
"Master of Technology in Data Science. 4 years experience. Skills: user experience, user flows, personas, information architecture, accessibility, responsive design. Experience: Collaborated with developers to ensure design implementation",UI/UX Designer
"Bachelor of Engineering in Software Engineering. 6 years experience. Skills: user experience, user flows, personas, information architecture, accessibility, responsive design. Experience: Prototyped interactive designs using Figma and Adobe XD",UI/UX Designer
"Bachelor of Technology in Information Technology. 3 years experience. Skills: test strategy, mobile testing, load testing, JMeter, test documentation, quality metrics. Experience: Performed load testing and performance testing for scalability",QA Engineer
"Master of Technology in Data Science. 2 years experience. Skills: Python, security auditing, compliance, ISO 27001, GDPR, risk management, security policies. Experience: Conducted security audits and penetration testing for enterprise systems",Cybersecurity Engineer
"Master of Science in Computer Science. 3 years experience. Skills: MongoDB, NoSQL, database administration, sharding, backup strategies, security. Experience: Optimized query performance improving response times by 60%",Database Administrator
"Bachelor of Science in Computer Science. 2 years experience. Skills: AWS, Docker, Kubernetes, CI/CD, Jenkins, Terraform, Linux, monitoring, automation. Experience: Managed Kubernetes clusters for microservices architecture",DevOps/Cloud Engineer
"Bachelor of Science in Computer Science. 6 years experience. Skills: MongoDB, NoSQL, database administration, sharding, backup strategies, security. Experience: Implemented backup and disaster recovery strategies",Database Administrator
"Bachelor of Technology in Information Technology. 5 years experience. Skills: Java Spring Boot, PostgreSQL, Redis, Kafka, distributed systems, TDD. Experience: Developed scalable backend services handling millions of requests daily",Software Engineer
"Bachelor of Science in Computer Science. 8 years experience. Skills: SQL, Python, big data, Spark, statistical modeling, business intelligence, dashboards. Experience: Created interactive dashboards for executive decision-making",Data Scientist
"Bachelor of Engineering in Software Engineering. 2 years experience. Skills: network security, penetration testing, SIEM, firewalls, IDS/IPS, vulnerability assessment, ethical hacking. Experience: Developed security policies and compliance frameworks",Cybersecurity Engineer
"Bachelor of Technology in Information Technology. 6 years experience. Skills: HTML5, CSS3, React, Redux, webpack, npm, cross-browser compatibility. Experience: Designed and developed responsive websites for multiple clients",Web Developer
"Master of Science in Computer Science. 2 years experience. Skills: R, SQL, Excel, regression analysis, A/B testing, data cleaning, storytelling. Experience: Built predictive models improving revenue forecasting accuracy by 25%",Data Scientist
"Bachelor of Science in Information Systems. 3 years experience. Skills: visual design, design thinking, user testing, mockups, style guides, collaboration. Experience: Designed user interfaces for web and mobile applications",UI/UX Designer
"Master of Technology in Data Science. 2 years experience. Skills: Python, scikit-learn, data mining, predictive modeling, hypothesis testing, Power BI. Experience: Analyzed large datasets to identify business trends and patterns",Data Scientist
"Master of Technology in Data Science. 2 years experience. Skills: cloud security, AWS security, identity management, zero trust, SOC operations, SIEM tools. Experience: Monitored network traffic and detected potential threats using SIEM",Cybersecurity Engineer
"Bachelor of Technology in Information Technology. 3 years experience. Skills: Cypress, JavaScript, end-to-end testing, test planning, defect management, Agile testing. Experience: Identified and documented critical bugs improving product quality",QA Engineer
"Master of Science in Computer Science. 6 years experience. Skills: Python, scikit-learn, data mining, predictive modeling, hypothesis testing, Power BI. Experience: Built predictive models improving revenue forecasting accuracy by 25%",Data Scientist
"Bachelor of Science in Information Systems. 7 years experience. Skills: Cypress, JavaScript, end-to-end testing, test planning, defect management, Agile testing. Experience: Designed and executed comprehensive test plans for web applications",QA Engineer
"Master of Technology in Data Science. 3 years experience. Skills: SQL, Python, big data, Spark, statistical modeling, business intelligence, dashboards. Experience: Analyzed large datasets to identify business trends and patterns",Data Scientist
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Python, Java, system design, scalability, performance optimization, CI/CD. Experience: Built RESTful APIs for mobile and web applications",Software Engineer
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Vue.js, Python Flask, MySQL, Redis, authentication, authorization, microservices. Experience: Participated in code reviews and mentored junior developers",FullStack Developer
"Bachelor of Science in Computer Science. 5 years experience. Skills: C++, Python, multithreading, Linux, debugging, version control, problem solving. Experience: Optimized database queries reducing response time by 40%",Software Engineer
"Bachelor of Engineering in Software Engineering. 5 years experience. Skills: manual testing, automated testing, Selenium, test cases, bug tracking, regression testing. Experience: Automated test cases reducing testing time by 50%",QA Engineer
"Bachelor of Science in Information Systems. 3 years experience. Skills: React, Node.js, Express, MongoDB, REST APIs, Git, JavaScript, HTML, CSS, responsive design. Experience: Participated in code reviews and mentored junior developers",FullStack Developer
"Master of Technology in Data Science. 2 years experience. Skills: Python, transformers, BERT, GPT, fine-tuning, model optimization, A/B testing. Experience: Built computer vision system for object detection in real-time",AI/ML Engineer
"Bachelor of Science in Information Systems. 6 years experience. Skills: Cypress, JavaScript, end-to-end testing, test planning, defect management, Agile testing. Experience: Collaborated with developers to ensure timely bug resolution",QA Engineer
"Bachelor of Science in Computer Science. 5 years experience. Skills: Angular, Django, PostgreSQL, Docker, TypeScript, API development, testing, deployment. Experience: Developed end-to-end features from frontend to backend",FullStack Developer
"Master of Science in Computer Science. 2 years experience. Skills: MySQL, PostgreSQL, replication, clustering, monitoring, query optimization, data integrity. Experience: Performed database migrations with zero downtime",Database Administrator
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Python, R, SQL, pandas, NumPy, statistical analysis, data visualization, Tableau, machine learning. Experience: Created interactive dashboards for executive decision-making",Data Scientist
"Bachelor of Engineering in Software Engineering. 5 years experience. Skills: JavaScript, Angular, SASS, responsive design, Progressive Web Apps, performance optimization. Experience: Built single-page applications using React and modern JavaScript",Web Developer
"Bachelor of Science in Computer Science. 1 years experience. Skills: React, Next.js, TypeScript, CSS modules, React hooks, component design, testing. Experience: Built single-page applications using React and modern JavaScript",Web Developer
"Bachelor of Science in Computer Science. 5 years experience. Skills: Angular, Django, PostgreSQL, Docker, TypeScript, API development, testing, deployment. Experience: Participated in code reviews and mentored junior developers",FullStack Developer
"Bachelor of Technology in Information Technology. 3 years experience. Skills: Python, R, SQL, pandas, NumPy, statistical analysis, data visualization, Tableau, machine learning. Experience: Analyzed large datasets to identify business trends and patterns",Data Scientist
"Bachelor of Engineering in Software Engineering. 4 years experience. Skills: PyTorch, computer vision, object detection, GANs, model training, GPU optimization. Experience: Fine-tuned transformer models for document classification",AI/ML Engineer
"Bachelor of Technology in Information Technology. 4 years experience. Skills: product roadmap, sprint planning, wireframing, metrics analysis, business strategy, SQL. Experience: Analyzed product metrics and made data-driven decisions",Product Manager
"Master of Science in Computer Science. 8 years experience. Skills: Kotlin, Android development, Jetpack Compose, MVVM, Room database, Material Design, Firebase. Experience: Published multiple apps to App Store and Google Play Store",Mobile Developer
"Master of Science in Computer Science. 3 years experience. Skills: SQL, Python, big data, Spark, statistical modeling, business intelligence, dashboards. Experience: Conducted A/B tests to optimize user engagement metrics",Data Scientist
"Bachelor of Science in Information Systems. 3 years experience. Skills: Angular, Django, PostgreSQL, Docker, TypeScript, API development, testing, deployment. Experience: Designed database schemas and implemented complex queries",FullStack Developer
"Master of Science in Computer Science. 2 years experience. Skills: Oracle, PL/SQL, database optimization, indexing, stored procedures, data migration. Experience: Monitored database health and resolved performance bottlenecks",Database Administrator
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: React, Spring Boot, PostgreSQL, AWS, full development lifecycle, Agile, code review. Experience: Built RESTful APIs and integrated them with React frontend",FullStack Developer
"Master of Technology in Data Science. 2 years experience. Skills: Cypress, JavaScript, end-to-end testing, test planning, defect management, Agile testing. Experience: Automated test cases reducing testing time by 50%",QA Engineer
"Master of Science in Computer Science. 1 years experience. Skills: manual testing, automated testing, Selenium, test cases, bug tracking, regression testing. Experience: Identified and documented critical bugs improving product quality",QA Engineer
"Bachelor of Science in Computer Science. 1 years experience. Skills: JavaScript, Angular, SASS, responsive design, Progressive Web Apps, performance optimization. Experience: Implemented UI/UX designs improving user engagement by 30%",Web Developer
"Bachelor of Technology in Information Technology. 7 years experience. Skills: React, Spring Boot, PostgreSQL, AWS, full development lifecycle, Agile, code review. Experience: Designed database schemas and implemented complex queries",FullStack Developer
"Bachelor of Science in Computer Science. 8 years experience. Skills: Sketch, InVision, user interface design, interaction design, typography, color theory. Experience: Designed user interfaces for web and mobile applications",UI/UX Designer
"Master of Technology in Data Science. 6 years experience. Skills: Python, Java, system design, scalability, performance optimization, CI/CD. Experience: Optimized database queries reducing response time by 40%",Software Engineer
"Master of Technology in Data Science. 3 years experience. Skills: visual design, design thinking, user testing, mockups, style guides, collaboration. Experience: Designed user interfaces for web and mobile applications",UI/UX Designer
"Bachelor of Engineering in Software Engineering. 8 years experience. Skills: React, Spring Boot, PostgreSQL, AWS, full development lifecycle, Agile, code review. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Oracle, PL/SQL, database optimization, indexing, stored procedures, data migration. Experience: Monitored database health and resolved performance bottlenecks",Database Administrator
"Master of Science in Computer Science. 4 years experience. Skills: network security, penetration testing, SIEM, firewalls, IDS/IPS, vulnerability assessment, ethical hacking. Experience: Monitored network traffic and detected potential threats using SIEM",Cybersecurity Engineer
"Bachelor of Engineering in Software Engineering. 5 years experience. Skills: Python, Java, system design, scalability, performance optimization, CI/CD. Experience: Collaborated with cross-functional teams in Agile environment",Software Engineer
"Master of Science in Computer Science. 3 years experience. Skills: Python, transformers, BERT, GPT, fine-tuning, model optimization, A/B testing. Experience: Developed machine learning models for customer churn prediction",AI/ML Engineer
"Bachelor of Science in Information Systems. 3 years experience. Skills: cloud security, AWS security, identity management, zero trust, SOC operations, SIEM tools. Experience: Developed security policies and compliance frameworks",Cybersecurity Engineer
"Bachelor of Technology in Information Technology. 6 years experience. Skills: React Native, JavaScript, TypeScript, cross-platform development, Redux, native modules. Experience: Optimized app performance reducing load times by 50%",Mobile Developer
"Bachelor of Science in Information Systems. 5 years experience. Skills: Python, security auditing, compliance, ISO 27001, GDPR, risk management, security policies. Experience: Developed security policies and compliance frameworks",Cybersecurity Engineer
"Bachelor of Science in Information Systems. 3 years experience. Skills: HTML5, CSS3, React, Redux, webpack, npm, cross-browser compatibility. Experience: Implemented UI/UX designs improving user engagement by 30%",Web Developer
"Bachelor of Science in Information Systems. 3 years experience. Skills: Oracle, PL/SQL, database optimization, indexing, stored procedures, data migration. Experience: Managed database systems supporting thousands of concurrent users",Database Administrator
"Master of Science in Computer Science. 2 years experience. Skills: product development, feature definition, go-to-market strategy, customer feedback, analytics. Experience: Collaborated with engineering and design teams in Agile sprints",Product Manager
"Bachelor of Science in Computer Science. 3 years experience. Skills: R, SQL, Excel, regression analysis, A/B testing, data cleaning, storytelling. Experience: Performed statistical analysis on customer behavior data",Data Scientist
"Bachelor of Technology in Information Technology. 4 years experience. Skills: Python, Java, system design, scalability, performance optimization, CI/CD. Experience: Built RESTful APIs for mobile and web applications",Software Engineer
"Master of Technology in Data Science. 8 years experience. Skills: Oracle, PL/SQL, database optimization, indexing, stored procedures, data migration. Experience: Optimized query performance improving response times by 60%",Database Administrator
"Master of Science in Computer Science. 6 years experience. Skills: Angular, Django, PostgreSQL, Docker, TypeScript, API development, testing, deployment. Experience: Built RESTful APIs and integrated them with React frontend",FullStack Developer
"Bachelor of Engineering in Software Engineering. 8 years experience. Skills: Python, Java, system design, scalability, performance optimization, CI/CD. Experience: Developed scalable backend services handling millions of requests daily",Software Engineer
"Bachelor of Technology in Information Technology. 4 years experience. Skills: HTML, CSS, JavaScript, React, responsive design, UI/UX, Bootstrap, jQuery, Git. Experience: Built single-page applications using React and modern JavaScript",Web Developer
"Master of Technology in Data Science. 5 years experience. Skills: user experience, user flows, personas, information architecture, accessibility, responsive design. Experience: Prototyped interactive designs using Figma and Adobe XD",UI/UX Designer
"Bachelor of Engineering in Software Engineering. 1 years experience. Skills: Kotlin, Android development, Jetpack Compose, MVVM, Room database, Material Design, Firebase. Experience: Published multiple apps to App Store and Google Play Store",Mobile Developer
"Master of Science in Computer Science. 2 years experience. Skills: Azure, Docker, Kubernetes, GitLab CI, infrastructure as code, Ansible, monitoring tools. Experience: Migrated on-premise infrastructure to AWS cloud",DevOps/Cloud Engineer
"Master of Technology in Data Science. 4 years experience. Skills: GCP, Docker, Kubernetes, CloudFormation, CI/CD pipelines, Prometheus, Grafana. Experience: Automated infrastructure deployment using Terraform and Ansible",DevOps/Cloud Engineer
"Bachelor of Technology in Information Technology. 5 years experience. Skills: test strategy, mobile testing, load testing, JMeter, test documentation, quality metrics. Experience: Identified and documented critical bugs improving product quality",QA Engineer
"Master of Technology in Data Science. 1 years experience. Skills: Python, scikit-learn, data mining, predictive modeling, hypothesis testing, Power BI. Experience: Conducted A/B tests to optimize user engagement metrics",Data Scientist
"Bachelor of Science in Information Systems. 1 years experience. Skills: product lifecycle, requirements gathering, prioritization, data-driven decisions, A/B testing. Experience: Collaborated with engineering and design teams in Agile sprints",Product Manager
"Bachelor of Technology in Information Technology. 6 years experience. Skills: Next.js, Node.js, GraphQL, MongoDB, TypeScript, serverless, cloud deployment. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Master of Science in Computer Science. 1 years experience. Skills: Angular, Django, PostgreSQL, Docker, TypeScript, API development, testing, deployment. Experience: Designed database schemas and implemented complex queries",FullStack Developer
"Bachelor of Technology in Information Technology. 5 years experience. Skills: TensorFlow, Keras, reinforcement learning, MLflow, model serving, AutoML. Experience: Fine-tuned transformer models for document classification",AI/ML Engineer
"Bachelor of Science in Information Systems. 5 years experience. Skills: security frameworks, OWASP, encryption, cryptography, incident response, threat analysis. Experience: Monitored network traffic and detected potential threats using SIEM",Cybersecurity Engineer
"Master of Technology in Data Science. 5 years experience. Skills: Python, transformers, BERT, GPT, fine-tuning, model optimization, A/B testing. Experience: Developed machine learning models for customer churn prediction",AI/ML Engineer
"Master of Science in Computer Science. 2 years experience. Skills: Vue.js, Python Flask, MySQL, Redis, authentication, authorization, microservices. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Bachelor of Technology in Information Technology. 4 years experience. Skills: React, Node.js, Express, MongoDB, REST APIs, Git, JavaScript, HTML, CSS, responsive design. Experience: Participated in code reviews and mentored junior developers",FullStack Developer
"Bachelor of Science in Computer Science. 8 years experience. Skills: C++, Python, multithreading, Linux, debugging, version control, problem solving. Experience: Developed scalable backend services handling millions of requests daily",Software Engineer
"Master of Technology in Data Science. 3 years experience. Skills: visual design, design thinking, user testing, mockups, style guides, collaboration. Experience: Prototyped interactive designs using Figma and Adobe XD",UI/UX Designer
"Master of Science in Computer Science. 2 years experience. Skills: Azure, Docker, Kubernetes, GitLab CI, infrastructure as code, Ansible, monitoring tools. Experience: Implemented monitoring and alerting using Prometheus and Grafana",DevOps/Cloud Engineer
"Bachelor of Science in Computer Science. 4 years experience. Skills: Flutter, Dart, cross-platform apps, state management, Firebase, API integration. Experience: Published multiple apps to App Store and Google Play Store",Mobile Developer
"Bachelor of Technology in Information Technology. 5 years experience. Skills: SQL, Python, big data, Spark, statistical modeling, business intelligence, dashboards. Experience: Analyzed large datasets to identify business trends and patterns",Data Scientist
